Zip, Total Population ,Percent Males
63167-0000,"116,954",55
94572-0000,"117,081",13
94549-0000,"117,189",81
28633-0000,"117,205",84
15454-0000,"117,212",38
84090-0000,"117,244",5
49091-0000,"117,346",30
33883-0000,"117,354",54
61940-0000,"117,363",21
48069-0000,"117,381",67
11249-0000,"117,448",59
8019-0000,"117,466",79
33729-0000,"117,499",33
43735-0000,"117,525",72
81215-0000,"117,615",9
85216-0000,"117,621",48
8221-0000,"117,726",29
87581-0000,"117,776",28
52345-0000,"117,824",59
49725-0000,"117,858",18
5459-0000,"117,913",97
99152-0000,"117,922",35
67444-0000,"117,923",89
68720-0000,"117,931",20
95450-0000,"117,962",18
25162-0000,"117,967",71
20190-0000,"118,095",95
70879-0000,"118,113",96
54480-0000,"118,155",77
97721-0000,"118,222",60
8104-0000,"118,231",97
42356-0000,"118,235",34
13643-0000,"118,247",13
89511-0000,"118,299",23
92862-0000,"118,334",33
80225-0000,"118,341",73
10017-0000,"118,350",62
27830-0000,"118,419",26
78660-0000,"118,435",87
85038-0000,"118,536",38
8060-0000,"118,597",27
39845-0000,"118,597",15
58477-0000,"118,618",13
95980-0000,"118,660",28
51242-0000,"118,703",89
2357-0000,"118,739",29
99402-0000,"118,740",25
80204-0000,"118,758",97
77970-0000,"118,812",15
80262-0000,"118,849",95
16929-0000,"118,856",33
85212-0000,"118,857",75
31544-0000,"118,862",73
51046-0000,"118,884",91
70657-0000,"118,891",22
30122-0000,"119,054",62
80233-0000,"119,106",69
30646-0000,"119,112",52
98386-0000,"119,121",89
88254-0000,"119,137",8
76205-0000,"119,157",25
1470-0000,"119,307",38
63101-0000,"119,361",33
47847-0000,"119,452",86
80651-0000,"119,493",35
55920-0000,"119,564",92
28202-0000,"119,775",99
6515-0000,"119,779",10
50478-0000,"119,972",19
85018-0000,"120,033",9
60617-0000,"120,055",16
19707-0000,"120,083",76
11726-0000,"120,192",42
45011-0000,"120,205",47
64857-0000,"120,213",93
27873-0000,"120,218",27
77010-0000,"120,239",87
38343-0000,"120,262",18
97906-0000,"120,269",34
94615-0000,"120,286",17
23220-0000,"120,303",50
25608-0000,"120,367",70
95372-0000,"120,417",66
46110-0000,"120,455",59
83731-0000,"120,520",65
80424-0000,"120,582",9
89170-0000,"120,607",12
84301-0000,"120,623",48
74842-0000,"120,644",92
36526-0000,"120,789",56
33890-0000,"120,792",1
13126-0000,"120,799",53
88435-0000,"120,869",98
14428-0000,"120,932",32
17534-0000,"120,937",21
58104-0000,"120,971",1
80910-0000,"121,020",76
98071-0000,"121,046",71
42001-0000,"121,121",62
95428-0000,"121,153",2
52224-0000,"121,331",77
66527-0000,"121,541",16
19058-0000,"121,668",28
39825-0000,"121,688",26
16943-0000,"121,770",83
48006-0000,"121,790",25
58524-0000,"121,806",61
99666-0000,"121,806",23
56035-0000,"121,932",63
23891-0000,"121,948",24
93033-0000,"121,978",84
46348-0000,"122,063",69
20203-0000,"122,160",25
39081-0000,"122,208",39
8049-0000,"122,216",36
60018-0000,"122,244",90
59430-0000,"122,251",56
24022-0000,"122,262",4
30345-0000,"122,287",26
36691-0000,"122,422",3
14819-0000,"122,474",44
18955-0000,"122,516",85
68007-0000,"122,544",59
8014-0000,"122,626",41
95129-0000,"122,633",40
49724-0000,"122,651",50
46047-0000,"122,659",7
48519-0000,"122,683",27
95037-0000,"122,687",22
49744-0000,"122,700",85
13320-0000,"122,712",94
18618-0000,"122,770",33
21501-0000,"122,776",72
94131-0000,"122,824",97
87072-0000,"122,826",64
81320-0000,"122,861",31
73026-0000,"122,869",61
72701-0000,"122,902",100
2863-0000,"122,943",25
23412-0000,"123,008",88
22565-0000,"123,023",47
25204-0000,"123,037",90
17202-0000,"123,067",45
30206-0000,"123,201",90
44221-0000,"123,335",66
66007-0000,"123,347",42
43145-0000,"123,358",21
2451-0000,"123,422",3
28651-0000,"123,424",37
4061-0000,"123,488",63
45334-0000,"123,535",79
21742-0000,"123,547",1
68061-0000,"123,697",76
86343-0000,"123,799",40
35744-0000,"123,806",27
52231-0000,"123,807",25
56566-0000,"123,807",9
65791-0000,"123,940",18
97258-0000,"123,989",18
72811-0000,"123,999",78
17959-0000,"124,015",13
24619-0000,"124,097",60
10174-0000,"124,167",66
70874-0000,"124,204",95
30599-0000,"124,227",18
4357-0000,"124,334",67
95853-0000,"124,372",60
8075-0000,"124,409",44
53919-0000,"124,437",74
25844-0000,"124,491",40
74159-0000,"124,522",18
76852-0000,"124,522",68
61410-0000,"124,523",21
89086-0000,"124,569",54
45147-0000,"124,591",30
76185-0000,"124,654",76
32963-0000,"124,734",84
68464-0000,"124,763",15
66626-0000,"124,897",47
33014-0000,"124,920",44
38008-0000,"124,997",1
98851-0000,"125,003",17
15658-0000,"125,031",80
71753-0000,"125,100",7
95927-0000,"125,102",74
25026-0000,"125,130",68
73112-0000,"125,183",77
37316-0000,"125,228",88
8089-0000,"125,244",6
56901-0000,"125,284",15
78561-0000,"125,307",18
35259-0000,"125,395",99
33145-0000,"125,455",59
85079-0000,"125,457",1
36507-0000,"125,554",5
12861-0000,"125,616",94
94497-0000,"125,625",65
27299-0000,"125,647",74
8087-0000,"125,779",66
42048-0000,"125,785",86
85097-0000,"125,877",26
17029-0000,"125,879",81
97601-0000,"125,946",1
80831-0000,"126,015",85
61435-0000,"126,086",96
70760-0000,"126,163",82
24630-0000,"126,203",19
63549-0000,"126,244",49
25420-0000,"126,263",25
2362-0000,"126,289",74
1118-0000,"126,314",89
91715-0000,"126,357",51
44134-0000,"126,383",83
76596-0000,"126,441",44
95341-0000,"126,446",98
29116-0000,"126,477",48
95717-0000,"126,630",31
84664-0000,"126,656",27
38301-0000,"126,756",43
15468-0000,"126,759",7
75474-0000,"126,801",24
73651-0000,"126,803",76
37338-0000,"126,804",91
80540-0000,"126,826",40
95313-0000,"126,845",68
17721-0000,"126,890",57
50061-0000,"127,079",83
77384-0000,"127,095",80
65265-0000,"127,112",28
70426-0000,"127,232",3
43005-0000,"127,281",47
94510-0000,"127,365",92
79040-0000,"127,379",93
66018-0000,"127,382",78
32362-0000,"127,394",38
7922-0000,"127,450",67
30811-0000,"127,522",93
92804-0000,"127,605",20
49833-0000,"127,612",86
7843-0000,"127,641",22
52255-0000,"127,675",39
33438-0000,"127,734",75
36069-0000,"127,742",45
48641-0000,"127,822",57
64474-0000,"127,879",8
65806-0000,"127,894",78
20885-0000,"127,909",78
60087-0000,"127,939",90
83858-0000,"127,984",42
38961-0000,"128,000",2
23843-0000,"128,072",82
91003-0000,"128,078",67
21550-0000,"128,109",88
7480-0000,"128,142",47
68130-0000,"128,233",68
47135-0000,"128,240",91
37701-0000,"128,255",5
39098-0000,"128,298",58
98253-0000,"128,303",87
56143-0000,"128,323",29
50041-0000,"128,412",29
49461-0000,"128,479",46
47585-0000,"128,514",91
75164-0000,"128,585",78
43614-0000,"128,606",91
13454-0000,"128,618",34
99836-0000,"128,849",29
34105-0000,"128,880",46
74054-0000,"128,924",66
31567-0000,"128,974",26
10265-0000,"128,977",97
70823-0000,"129,049",81
88242-0000,"129,082",96
39165-0000,"129,088",68
32810-0000,"129,099",59
58504-0000,"129,103",19
26294-0000,"129,105",20
58421-0000,"129,219",14
60055-0000,"129,254",60
33771-0000,"129,313",82
34481-0000,"129,404",88
7310-0000,"129,408",15
17350-0000,"129,442",96
6472-0000,"129,517",87
7960-0000,"129,521",1
49715-0000,"129,613",71
75551-0000,"129,642",67
40317-0000,"129,700",74
99644-0000,"129,782",39
28621-0000,"129,842",57
52323-0000,"129,846",78
65741-0000,"129,872",25
54984-0000,"129,922",79
75640-0000,"130,173",23
54498-0000,"130,185",77
55946-0000,"130,281",67
46544-0000,"130,380",26
33161-0000,"130,400",70
79018-0000,"130,402",90
24209-0000,"130,427",78
25429-0000,"130,440",51
56023-0000,"130,468",66
57533-0000,"130,533",100
17089-0000,"130,551",32
14026-0000,"130,567",2
97438-0000,"130,663",81
93099-0000,"130,673",61
26102-0000,"130,686",41
91377-0000,"130,932",17
78015-0000,"130,985",60
12541-0000,"131,001",64
50264-0000,"131,002",23
24027-0000,"131,045",90
71659-0000,"131,046",58
20639-0000,"131,100",61
18041-0000,"131,197",22
12010-0000,"131,241",76
87115-0000,"131,248",38
67482-0000,"131,263",94
27628-0000,"131,311",78
44703-0000,"131,340",3
22909-0000,"131,372",80
99224-0000,"131,383",93
76443-0000,"131,417",8
80021-0000,"131,506",81
22135-0000,"131,516",97
29726-0000,"131,530",53
56118-0000,"131,541",58
36477-0000,"131,549",49
1778-0000,"131,562",23
72923-0000,"131,598",88
19111-0000,"131,602",84
33239-0000,"131,635",96
36869-0000,"131,641",45
75855-0000,"131,760",46
85278-0000,"131,904",2
2038-0000,"131,910",98
53157-0000,"131,913",72
62225-0000,"131,946",50
72179-0000,"131,993",73
27982-0000,"132,079",44
80919-0000,"132,179",5
64475-0000,"132,258",25
72565-0000,"132,277",49
4854-0000,"132,291",28
36528-0000,"132,291",44
51559-0000,"132,305",76
35577-0000,"132,355",44
18463-0000,"132,387",42
99362-0000,"132,392",24
38506-0000,"132,415",98
59424-0000,"132,424",62
27675-0000,"132,530",47
30055-0000,"132,537",31
50590-0000,"132,574",23
28105-0000,"132,628",26
28572-0000,"132,673",77
62839-0000,"132,689",4
34108-0000,"132,698",66
61073-0000,"132,719",96
89438-0000,"132,770",58
73050-0000,"132,803",21
55425-0000,"132,806",48
62207-0000,"132,849",32
50523-0000,"132,857",32
25015-0000,"133,037",47
56263-0000,"133,057",23
73502-0000,"133,103",67
41144-0000,"133,168",28
13847-0000,"133,188",91
39117-0000,"133,236",84
44473-0000,"133,313",72
19105-0000,"133,326",33
54436-0000,"133,338",69
5674-0000,"133,508",64
79044-0000,"133,537",3
8723-0000,"133,652",89
90734-0000,"133,662",49
79065-0000,"133,707",51
63022-0000,"133,728",48
58244-0000,"133,751",5
12495-0000,"133,758",38
52726-0000,"133,787",82
78963-0000,"133,843",2
75374-0000,"133,996",67
46295-0000,"134,065",88
63158-0000,"134,071",63
80746-0000,"134,107",98
48504-0000,"134,190",3
10915-0000,"134,253",99
12529-0000,"134,256",34
64639-0000,"134,258",84
3839-0000,"134,316",92
73170-0000,"134,320",82
15240-0000,"134,326",73
20242-0000,"134,375",100
89821-0000,"134,464",54
17750-0000,"134,467",48
92093-0000,"134,518",20
85297-0000,"134,645",100
58121-0000,"134,696",35
56569-0000,"134,743",38
24179-0000,"134,761",90
15951-0000,"134,795",16
24211-0000,"134,853",32
27857-0000,"134,862",46
61310-0000,"134,882",68
45434-0000,"134,981",50
98496-0000,"135,037",71
61770-0000,"135,038",70
67427-0000,"135,040",9
84647-0000,"135,047",26
71613-0000,"135,087",63
65550-0000,"135,167",78
33884-0000,"135,177",30
43661-0000,"135,325",33
15144-0000,"135,363",68
26619-0000,"135,391",61
62521-0000,"135,412",75
10523-0000,"135,433",57
25820-0000,"135,587",65
54660-0000,"135,608",58
38472-0000,"135,637",94
35616-0000,"135,752",69
11792-0000,"135,758",42
63028-0000,"135,783",37
31050-0000,"135,817",37
27053-0000,"135,828",18
22437-0000,"135,871",19
48002-0000,"135,885",41
80943-0000,"136,013",17
91941-0000,"136,065",74
67334-0000,"136,148",59
50854-0000,"136,311",28
32516-0000,"136,332",64
63016-0000,"136,378",24
33595-0000,"136,490",39
29210-0000,"136,521",26
94114-0000,"136,540",5
27094-0000,"136,564",85
83815-0000,"136,621",71
49670-0000,"136,622",63
83619-0000,"136,637",90
76246-0000,"136,678",87
28054-0000,"136,716",42
94288-0000,"136,737",13
75865-0000,"136,860",12
37376-0000,"136,936",35
91214-0000,"136,969",56
45066-0000,"137,108",26
68504-0000,"137,109",5
80936-0000,"137,124",60
37308-0000,"137,235",71
38177-0000,"137,242",39
44140-0000,"137,247",97
24055-0000,"137,254",97
76685-0000,"137,294",75
8804-0000,"137,311",97
34266-0000,"137,378",34
63030-0000,"137,510",1
93704-0000,"137,559",26
96074-0000,"137,573",93
31704-0000,"137,600",98
28169-0000,"137,647",90
85304-0000,"137,647",1
3589-0000,"137,651",43
80481-0000,"137,656",16
63125-0000,"137,710",41
20388-0000,"137,719",35
70469-0000,"137,902",10
55078-0000,"137,996",25
44313-0000,"138,004",25
17365-0000,"138,017",79
74150-0000,"138,045",62
33951-0000,"138,062",75
34972-0000,"138,098",63
74836-0000,"138,103",84
18237-0000,"138,108",37
28373-0000,"138,113",83
35079-0000,"138,161",95
18018-0000,"138,214",57
4741-0000,"138,250",15
77834-0000,"138,265",18
84323-0000,"138,320",32
33556-0000,"138,327",46
2047-0000,"138,329",10
84747-0000,"138,398",52
71748-0000,"138,406",53
16212-0000,"138,450",47
50682-0000,"138,482",30
20653-0000,"138,517",59
70569-0000,"138,531",47
52161-0000,"138,570",16
8619-0000,"138,580",49
61878-0000,"138,637",99
61341-0000,"138,741",59
77459-0000,"138,750",91
95825-0000,"138,818",86
50452-0000,"138,920",36
97908-0000,"139,019",41
56047-0000,"139,036",49
28618-0000,"139,115",29
72479-0000,"139,158",65
57069-0000,"139,174",27
2460-0000,"139,185",20
99758-0000,"139,284",41
53510-0000,"139,304",23
10507-0000,"139,370",46
59823-0000,"139,380",60
32175-0000,"139,413",88
2703-0000,"139,416",57
19522-0000,"139,466",71
26447-0000,"139,599",89
56301-0000,"139,628",28
55460-0000,"139,682",53
66215-0000,"139,682",91
14592-0000,"139,794",61
78404-0000,"139,794",91
77333-0000,"139,796",17
6721-0000,"139,863",29
40964-0000,"139,950",48
45040-0000,"139,981",76
25276-0000,"139,983",28
57049-0000,"140,062",76
74428-0000,"140,067",8
77042-0000,"140,172",31
29550-0000,"140,176",30
54107-0000,"140,183",64
57709-0000,"140,300",52
35584-0000,"140,359",50
37680-0000,"140,481",45
49024-0000,"140,521",31
67345-0000,"140,522",83
62866-0000,"140,560",58
55042-0000,"140,582",39
71951-0000,"140,604",13
19880-0000,"140,606",33
60042-0000,"140,664",88
35089-0000,"140,669",25
17774-0000,"140,681",80
27868-0000,"140,744",43
15087-0000,"140,824",100
73030-0000,"140,837",34
22026-0000,"140,866",32
83644-0000,"140,866",65
62221-0000,"140,955",36
76234-0000,"141,031",41
54210-0000,"141,039",92
21661-0000,"141,046",18
13808-0000,"141,056",85
1468-0000,"141,077",14
57017-0000,"141,107",93
55723-0000,"141,108",28
73433-0000,"141,127",6
76637-0000,"141,251",85
50247-0000,"141,318",77
57107-0000,"141,332",73
48449-0000,"141,337",24
24839-0000,"141,549",74
79117-0000,"141,675",99
94596-0000,"141,698",95
75687-0000,"141,727",77
78119-0000,"141,733",85
78691-0000,"141,768",41
89828-0000,"141,781",68
93121-0000,"141,785",34
67275-0000,"141,803",77
7827-0000,"141,823",13
23666-0000,"141,842",19
95230-0000,"141,941",58
63932-0000,"141,995",13
7088-0000,"142,063",5
52777-0000,"142,201",49
95629-0000,"142,260",30
75214-0000,"142,316",78
22812-0000,"142,336",38
73074-0000,"142,393",55
4257-0000,"142,460",27
12886-0000,"142,495",64
89149-0000,"142,512",22
64075-0000,"142,586",76
51355-0000,"142,599",100
2040-0000,"142,751",89
73541-0000,"142,751",99
55784-0000,"142,758",75
36022-0000,"142,847",52
32814-0000,"142,910",29
36432-0000,"142,954",89
70533-0000,"142,961",62
56287-0000,"143,023",26
74857-0000,"143,219",91
70559-0000,"143,263",95
8882-0000,"143,275",40
22947-0000,"143,286",93
33478-0000,"143,319",99
73144-0000,"143,366",40
8062-0000,"143,401",89
58801-0000,"143,425",2
30548-0000,"143,504",76
74342-0000,"143,548",97
61516-0000,"143,570",77
33116-0000,"143,571",74
56256-0000,"143,578",13
92020-0000,"143,615",29
47468-0000,"143,705",79
65637-0000,"143,755",97
14522-0000,"143,777",74
78350-0000,"143,790",85
54728-0000,"143,860",35
16698-0000,"143,882",50
47545-0000,"143,884",2
5351-0000,"143,897",10
35601-0000,"143,975",40
92674-0000,"144,112",62
73063-0000,"144,214",80
5072-0000,"144,218",42
16648-0000,"144,372",25
65260-0000,"144,393",33
8527-0000,"144,407",98
38145-0000,"144,413",59
35071-0000,"144,426",32
67342-0000,"144,640",39
91308-0000,"144,655",66
77315-0000,"144,681",22
12074-0000,"144,747",92
15463-0000,"144,815",78
57364-0000,"144,816",10
38366-0000,"144,855",15
27215-0000,"144,912",51
12927-0000,"144,954",47
98291-0000,"145,012",32
57078-0000,"145,026",34
61270-0000,"145,035",74
78683-0000,"145,062",27
26285-0000,"145,102",74
81101-0000,"145,140",85
30919-0000,"145,163",22
99328-0000,"145,167",88
32522-0000,"145,216",51
66508-0000,"145,224",64
79838-0000,"145,314",16
4096-0000,"145,319",50
33826-0000,"145,380",77
10270-0000,"145,414",25
97415-0000,"145,433",77
66052-0000,"145,445",6
72115-0000,"145,450",12
41007-0000,"145,533",14
73090-0000,"145,568",39
78133-0000,"145,620",12
84731-0000,"145,633",80
11424-0000,"145,653",45
92662-0000,"145,816",78
44804-0000,"145,842",73
62638-0000,"145,866",30
45448-0000,"145,926",77
23120-0000,"145,961",36
45778-0000,"145,979",87
59866-0000,"146,007",99
56156-0000,"146,101",11
57201-0000,"146,134",52
4338-0000,"146,168",27
55951-0000,"146,197",75
75411-0000,"146,239",63
14464-0000,"146,278",7
54530-0000,"146,318",43
75643-0000,"146,358",73
62473-0000,"146,380",5
79355-0000,"146,396",56
33303-0000,"146,407",65
83421-0000,"146,412",38
66547-0000,"146,423",38
56757-0000,"146,660",24
36875-0000,"146,662",59
92840-0000,"146,808",99
88580-0000,"146,947",24
39153-0000,"146,964",23
16121-0000,"147,104",16
97064-0000,"147,165",58
79404-0000,"147,186",68
83405-0000,"147,235",55
89510-0000,"147,323",83
85601-0000,"147,353",24
12920-0000,"147,383",58
99610-0000,"147,416",32
61865-0000,"147,509",19
23219-0000,"147,600",7
77550-0000,"147,635",65
72662-0000,"147,707",27
21835-0000,"147,783",70
33830-0000,"147,791",100
79121-0000,"147,831",52
52142-0000,"147,857",21
1434-0000,"147,898",5
36919-0000,"147,906",97
49277-0000,"147,923",35
67217-0000,"147,969",41
99775-0000,"147,972",1
75608-0000,"147,999",33
33070-0000,"148,144",79
73758-0000,"148,312",66
18254-0000,"148,332",28
15679-0000,"148,399",4
63945-0000,"148,432",61
41635-0000,"148,481",18
66025-0000,"148,658",53
86313-0000,"148,689",80
72037-0000,"148,716",92
